id,city,country
100,Stanley,Armenia
101,Mwanza,Nepal
102,Tamale,Czech Republic
103,Auckland,Algeria
104,Kharkiv,Kyrgyzstan
105,Pretoria,Mongolia
106,Koulikoro,Anguilla
107,Pristina,China
108,Yaren District,"Taiwan, Province of China"
109,Surabaya,Svalbard and Jan Mayen
110,Simferopol,Mali
111,Saint-Pierre,Cambodia
112,Casablanca,Finland
113,Handan,Thailand
114,Melbourne,Guyana
115,Rawalpindi,Grenada
116,Nanjing,Cuba
117,Kharkiv,"Cote D""Ivoire"
118,Montevideo,Maldives
119,Nanning,Estonia
120,San Diego,Northern Mariana Islands
121,Saint-Denis,Honduras
122,Chennai,Latvia
123,Addis Ababa,Poland
124,Naypyidaw,Afghanistan
125,Vancouver,Malta
126,Lhasa,Bulgaria
127,Iqaluit,Niger
128,Omsk,Haiti
129,Innsbruck,United States
130,Guadalajara,Guam
131,Manzini,"Taiwan, Province of China"
132,Denver,Ethiopia
133,Johannesburg,Croatia
134,Nice,French Southern Territories
135,Strasbourg,Algeria
136,Cardiff,Nauru
137,Brasília,AndorrA
138,Manzini,Congo
139,Honolulu,Bangladesh
140,Abuja,Yemen
141,Curitiba,Myanmar
142,Gaza,Nauru
143,Papeete,Nigeria
144,Brikama,Kenya
145,Berlin,Tokelau
146,Casablanca,Saudi Arabia
147,Dodoma,Togo
148,Caracas,Bouvet Island
149,Cardiff,Peru
150,Phoenix,United States Minor Outlying Islands
151,Manama,Senegal
152,Valletta,"Lao People""S Democratic Republic"
153,Bujumbura,Turkey
154,Marseille,Dominica
155,Vladivostok,Viet Nam
156,City of San Marino,Uruguay
157,Medina,Turks and Caicos Islands
158,Timbuktu,Sweden
159,Yerevan,Kenya
160,Maputo,Sri Lanka
161,Incheon,Denmark
162,Washington,Saint Pierre and Miquelon
163,Bamako,British Indian Ocean Territory
164,Bilbao,Fiji
165,Mandurah,Guinea-Bissau
166,Palikir,Turks and Caicos Islands
167,Santiago de Cuba,Dominica
168,Reykjavík,Bahrain
169,Dibrugarh,Syrian Arab Republic
170,Makati City,Sweden
171,Tucson,Sao Tome and Principe
172,Porto Alegre,Tajikistan
173,Monaco,Slovenia
174,Libreville,Tuvalu
175,San José,Chile
176,Peshawar,Philippines
177,Cincinnati,Bermuda
178,Hanoi,Brazil
179,Santa Cruz de la Sierra,Antarctica
180,Zapopan,French Guiana
181,Daegu,Nauru
182,Kota Bharu,Bermuda
183,Kolkata,Tuvalu
184,Livingstone,Sweden
185,Boston,"Virgin Islands, U.S."
186,Seville,Angola
187,Kinshasa,Grenada
188,Karachi,Bolivia
189,Dakar,Nepal
190,Kawasaki,Saint Pierre and Miquelon
191,Cardiff,Cambodia
192,Bogor,Zimbabwe
193,Las Vegas,Afghanistan
194,Canberra,Aruba
195,Salzburg,New Zealand
196,Yaoundé,Ethiopia
197,Chaguanas,Cocos (Keeling) Islands
198,Nukuʻalofa,Somalia
199,Valletta,Guyana
